id,nombre
en:e333ii,E333ii - Dicalcium citrate
en:e321,E321 - Butylated hydroxytoluene
en:e345,E345 - Magnesium citrate
en:e303,E303 - Potassium ascorbate
en:e1104,E1104 - lipase
en:e501,E501 - Potassium carbonates
en:e490,E490 - Propylene glycol
en:e523,E523 - Aluminium ammonium sulphate
en:e401,E401 - sodium alginate
en:e103,E103 - Alkannin
en:e121,E121 - Citrus Red 2
en:e624,E624 - Monoammonium glutamate
en:e1452,E1452 - Starch aluminium octenyl succinate
en:e342,E342 - Ammonium phosphate
en:e1105,E1105 - Lysozyme
en:e170ii,E170ii - Calcium hydrogen carbonate
en:e968,E968 - Erythritol
en:e556,E556 - Calcium aluminium silicate
en:e317,E317 - Erythorbin acid
en:methylsulfonylmethane,Methylsulfonylmethane - dimethyl sulfone
en:e142,E142 - Green s
en:e1422,E1422 - Acetylated distarch adipate
en:e932,E932 - Nitrogen oxide
en:e161e,E161e - Violaxanthin
en:e629,E629 - Calcium guanylate
en:no9,No9 - n9
en:e636,E636 - Maltol
en:e249,E249 - Potassium nitrite
en:e492,E492 - Sorbitan tristearate
en:e211,E211 - Sodium benzoate
en:e340,E340 - Potassium phosphates
en:e172ii,E172ii - Red iron oxide
en:e440aii,E440aii - Sodium pectate
en:e140,E140 - Chlorophylls and Chlorophyllins
en:e1402,E1402 - Alkaline modified starch
en:e916,E916 - Calcium iodate
en:e262i,E262i - Sodium acetate
en:e495,E495 - Sorbitan monopalmitate
en:e930,E930 - calcium peroxide
en:e227,E227 - Calcium bisulphite
en:e526,E526 - Calcium hydroxide
en:e426,E426 - Soybean hemicellulose
en:e580,E580 - Magnesium Gluconate
en:e338,E338 - Phosphoric acid
en:e162,E162 - Beetroot red
en:e106,E106 - flavin mononucleotide
en:e948,E948 - Oxygen
en:e999,E999 - Quillaia extract
en:e336ii,E336ii - Dipotassium tartrate
en:e160a,E160a - carotene
en:e306,E306 - Tocopherol-rich extract
en:e165,E165 - Gardenia Blue
en:e351,E351 - Potassium malate
en:no8,No8 - n8
en:e365,E365 - Sodium fumarate
en:e151,E151 - Brilliant black bn
en:e161d,E161d - Rubixanthin
en:e640ii,E640ii - Sodiumglycinate
en:e553,E553 - Magnesium silicates
en:e1100,E1100 - Alpha-Amylase
en:e907,E907 - Hydrogenated poly-1-decene
en:e482,E482 - Calcium stearoyl-2-lactylate
en:e150d,E150d - Sulphite ammonia caramel
en:e160,E160 - Carotenoids
en:e504ii,E504ii - Magnesium hydroxide carbonate
en:e633,E633 - Calcium inosinate
en:e264,E264 - Ammonium acetate
en:e434,E434 - Polyoxyethylene sorbitan monopalmitate
en:e913,E913 - Lanolin
en:e1208,E1208 - Polyvinylpyrrolidone-vinyl acetate copolymer
xx:e364,Desconocido
en:e553a,E553a - synthetic magnesium silicates
en:e585,E585 - Ferrous lactate
en:e485,E485 - Sodium stearoyl fumarate
en:e539,E539 - sodium thiosulfate
en:e440a,E440a - Pectin
en:e1403,E1403 - Bleached starch
en:e442,E442 - Ammonium phosphatides
en:e163e,E163e - Peonidin
en:e542,E542 - Bone phosphate
en:e160c,E160c - Paprika extract
en:e356,E356 - Sodium adipate
en:e517,E517 - Ammonium sulphate
en:e417,E417 - Tara gum
en:e323,E323 - Anoxomer
en:e301,E301 - Sodium ascorbate
en:e331ii,E331ii - Disodium citrate
en:e101,E101 - Riboflavin
en:e123,E123 - Amaranth
en:e445,E445 - Glycerol esters of wood rosin
en:e421,E421 - Mannitol
en:e503,E503 - Ammonium carbonates
en:e521,E521 - Aluminium sodium sulphate
en:e403,E403 - Ammonium alginate
en:e545,E545 - Ammonium polyphosphate
en:e957,E957 - Thaumatin
en:e332i,E332i - Monopotassium citrate
en:e964,E964 - Polyglycitol syrup
en:e1423,E1423 - Acetylated distarch glycerol
en:e540,E540 - Dicalcium diphosphate
en:e1441,E1441 - Hydroxy propyl distarch glycerine
en:e440,E440 - Pectins
en:e392,E392 - Extracts of rosemary
en:organic-acids,Organic acids
en:e101a,E101a - E101a food additive
en:e969,E969 - Advantame
en:e335i,E335i - Monosodium tartrate
en:e213,E213 - Calcium benzoate
en:fd-c,FD&C - FD and C
en:no4,No4 - n4
en:e628,E628 - Dipotassium guanylate
en:e235,E235 - Natamycin
en:e553aii,E553aii - Magnesium trisilicate
en:e465,E465 - Ethyl methyl cellulose
en:e353,E353 - Metatartaric acid
en:e551,E551 - Silicon dioxide
en:e451,E451 - Triphosphates
en:e163d,E163d - Pelargonidin
en:e153,E153 - Vegetable carbon
en:e126,E126 - Ponceau 6R
en:e180,E180 - Litholrubine bk
en:e232,E232 - Sodium orthophenyl phenol
en:e406,E406 - Agar
xx:e389,Desconocido
en:e462,E462 - Ethyl cellulose
en:e380,E380 - Triammonium citrate
en:e326,E326 - potassium lactate
en:e284,E284 - Boric acid
de:natürliche-quellkohlensäure,Desconocido
en:e477,E477 - Propane-1‚2-diol esters of fatty acids
en:e577,E577 - Potassium gluconate
en:e538,E538 - Calcium ferrocyanide
en:e927a,E927a - Azodicarbonamide
en:e515ii,E515ii - Potassium hydrogen sulphate
en:no6,No6 - n6
en:e339,E339 - Sodium phosphates
en:e911,E911 - Fatty acid methyl ester
en:e965i,E965i - D-Maltitol
en:e949,E949 - Hydrogen
en:e385,E385 - Calcium disodium ethylenediaminetetraacetate
